name;inhabitants;population_density;UNLOCODE
Düsseldorf;620523;2900;DEDUS
Münster;316403;1000;DEMSR
Bielefeld;333509;1289;DEBFE
Bonn;330579;2343;DEBON
Wuppertal;355004;2108;DEWUP
Dortmund;587696;2094;DEDTM
Cologne;1083498;2700;DECGN
Essen;582415;2769;DEESS
Duisburg;495885;2130;DEDUI
Bochum;364454;2502;DEBOM
